PL,Variable,EN
Działalność inwestycyjna,investment,Investment activity
Nieruchomości,real_easte,Real estate
Informatyka,information_tech,Information technology
Media,media,Media
Artykuły spożywcze,food,Food industry
Wyposażenie domu,home_furnishings,Home furnishings
Zaopatrzenie przedsiębiorstw,enterprise_supplying,Enterprise supplying
Przemysł elektromaszynowy,electromechanical,Electromechanical industry
Budownictwo,construction,Construction
Energia,energy,Energy
Banki,banking,Banking
Hutnictwo,metallurgy,Metallurgy
Wierzytelności,debt_collecting,Debt collecting
Motoryzacja,automotive,Automotive
Odzież i kosmetyki,clothing_cosmetics,Clothing and cosmetics
Usługi dla przedsiębiorstw,enterprise_services,Enterprise services
Pośrednictwo finansowe,finance,Finance
Górnictwo,mining,Mining
Drewno i papier,wood_paper,Wood and paper
Handel internetowy,internet_trade,Internet trade
Paliwa i gaz,fuels_gas,Fuels and gas
Dystrybucja leków,medicines_distribution,Medicines distribution
Telekomunikacja,telecommunication,Telecommunication
Rekreacja i wypoczynek,recreation_leisure,Recreation and leisure
Biotechnologia,biotechnology,Biotechnology
Transport i logistyka,transport_logistics,Transport and logistics
Guma i tworzywa sztuczne,rubber_plastics,Rubber and plastics
Handel hurtowy,trade,Trade
Produkcja leków,medicines_production,Medicines production
Chemia,chemistry,Chemistry
Szpitale i przychodnie,hospitals_clinics,Hospitals and clinics
Sieci handlowe,commercial_network,Commercial network
Rynek kapitałowy,capital_market,Capital market
Pozostałe,other,Other
Gry,games,Games
Ubezpieczenia,insurance,Insurance
Leasing i faktoring,leasing_factoring,Leasing and factoring
Recykling,recycling,Recycling
Sprzęt i materiały medyczne,medical_equipment,Medical equipment
Nowe technologie,new_technologies,New technologies
